LON,LAT,DisplayNam
-122.421473,37.801328,2537 Larkin St
-122.421487,37.801396,2543 Larkin St
-122.421504,37.801481,2555 Larkin St
-122.421524,37.80158,2565 Larkin St
-122.422304,37.801812,1262 Lombard St
-122.422208,37.801823,1256 Lombard St
-122.42254,37.80187,1280 Lombard St
-122.422423,37.801884,1268 Lombard St
-122.422258,37.801964,19 Culebra Ter
-122.422282,37.802083,31 Culebra Ter
-122.422101,37.801836,1246 Lombard St
-122.422005,37.801847,1240 Lombard St
-122.422019,37.801974,20 Culebra Ter
-122.421919,37.801858,1234 Lombard St
-122.422035,37.802054,26 Culebra Ter
-122.421851,37.801954,1210 Lombard St
-122.421765,37.801964,1208 Lombard St
-122.422632,37.802242,1181 Chestnut St
-122.422515,37.802256,1175 Chestnut St
-122.422302,37.802182,45 Culebra Ter
-122.422318,37.802261,55 Culebra Ter
-122.422345,37.802385,65 Culebra Ter
-122.422188,37.802467,1141 Chestnut St
-122.422051,37.802132,34 Culebra Ter
-122.422067,37.802211,46 Culebra Ter
-122.422083,37.802289,50 Culebra Ter
-122.421708,37.802206,2637 Larkin St
-122.422126,37.802377,60 Culebra Ter
-122.421918,37.802466,1111 Chestnut St
-122.421735,37.802415,2677 Larkin St
-122.421547,37.801848,2601 Larkin St
-122.421561,37.801915,2609 Larkin St
-122.421575,37.801986,2615 Larkin St
-122.421589,37.802054,2621 Larkin St
-122.421,37.801989,1188 Lombard St
-122.421603,37.802121,2627 Larkin St
-122.421121,37.802619,1089 Chestnut St
-122.421028,37.802126,2620 Larkin St
-122.421051,37.802238,2626 Larkin St
-122.421059,37.802317,2632 Larkin St
-122.421074,37.802392,2638 Larkin St
-122.42109,37.802466,2644 Larkin St
-122.421105,37.802541,2652 Larkin St
-122.422921,37.802649,1190 Chestnut St
-122.422863,37.802733,2808 Polk St
-122.42267,37.80275,1176 Chestnut St
-122.422877,37.8028,2814 Polk St
-122.422918,37.803004,2832 Polk St
-122.422904,37.802936,2826 Polk St
-122.422787,37.8032,1075 Francisco St
-122.422892,37.803244,1081 Francisco St
-122.422689,37.80321,1067 Francisco St
-122.422838,37.803769,1070 Francisco St
-122.422731,37.80374,1066 Francisco St
-122.422875,37.804195,955 Bay St
-122.422668,37.804223,15 N View Ct
-122.422687,37.804313,945 Bay St
-122.422409,37.80271,1154 Chestnut St
-122.422584,37.802761,1170 Chestnut St
-122.422424,37.802784,109 Culebra Ter
-122.42244,37.80286,117 Culebra Ter
-122.422182,37.802777,1140 Chestnut St
-122.422455,37.802936,129 Culebra Ter
-122.42247,37.80301,133 Culebra Ter
-122.422205,37.80289,122 Culebra Ter
-122.42222,37.802966,126 Culebra Ter
-122.421848,37.802822,2701 Larkin St
-122.421897,37.803082,2709 Larkin St
-122.421869,37.802936,2705 Larkin St
-122.421883,37.803009,2707 Larkin St
-122.422579,37.803224,1061 Francisco St
-122.422457,37.80324,1051 Francisco St
-122.422339,37.803255,1043 Francisco St
-122.422222,37.80327,1033 Francisco St
-122.422116,37.803283,1027 Francisco St
-122.422023,37.803295,1021 Francisco St
-122.421931,37.803307,1015 Francisco St
-122.421838,37.803318,1009 Francisco St
-122.421756,37.803324,2745 Larkin St
-122.421317,37.803017,1090 Chestnut St
-122.421074,37.803048,1080 Chestnut St
-122.420891,37.803072,1058 Chestnut St
-122.420797,37.803084,1052 Chestnut St
-122.420703,37.803096,1050 Chestnut St
-122.420609,37.803108,1040 Chestnut St
-122.42264,37.80379,1062 Francisco St
-122.422537,37.803803,1050 Francisco St
-122.422435,37.803816,1040 Francisco St
-122.422332,37.803829,1036 Francisco St
-122.422223,37.803843,1030 Francisco St
-122.42263,37.804034,5 N View Ct
-122.42265,37.804131,9 N View Ct
